Basiswert;WKN;S;Typ;Fï¿½lligkeitstag;Basispreis;Geldkurs;Briefkurs;Delta;Omega;
DAX;TD61KS;S;Put;19.04.17;9200,00;n/a;n/a;-0,00;-0,01;
Deutsche Bank;TD7RFB;;Call;19.04.17;19,6352;0,002;0,018;-0,00;-0,00;
DAX;TD7KLJ;;Put;19.04.17;11400,00;0,037;0,057;-0,02;-45,76;
DAX;TD7KLN;;Put;19.04.17;11600,00;0,064;0,084;-0,05;-72,95;
DAX;TD7KL3;;Put;19.04.17;10150,00;0,015;0,035;-0,00;-0,92;
DAX;TD7KLL;;Put;19.04.17;11500,00;0,047;0,067;-0,03;-59,57;
DAX;TD7KLH;;Put;19.04.17;11350,00;0,034;0,054;-0,02;-39,84;
DAX;TD61KB;S;Put;19.04.17;10700,00;n/a;n/a;-0,00;-11,13;
DAX;TD7KLG;;Put;19.04.17;11300,00;0,012;0,032;-0,01;-52,95;
DAX;TD61KR;S;Put;19.04.17;9300,00;n/a;n/a;-0,00;-0,01;
DAX;TD61KJ;S;Put;19.04.17;10000,00;n/a;n/a;-0,00;-0,49;
DAX;TD61E1;S;Call;19.04.17;10700,00;n/a;n/a;1,00;8,66;
DAX;TD61L1;S;Put;19.04.17;8300,00;n/a;n/a;-0,00;-0,00;
DAX;TD61KU;S;Put;19.04.17;9000,00;n/a;n/a;-0,00;-0,00;
DAX;TD61KM;S;Put;19.04.17;9700,00;n/a;n/a;-0,00;-0,10;
DAX;TD61L4;S;Put;19.04.17;8000,00;n/a;n/a;0,00;0,00;
DAX;TD61L3;S;Put;19.04.17;8100,00;n/a;n/a;0,00;0,00;
DAX;TD61KP;S;Put;19.04.17;9500,00;n/a;n/a;-0,00;-0,05;
DAX;TD7KL7;;Put;19.04.17;10550,00;0,026;0,046;-0,00;-3,28;
DAX;TD61DP;S;Call;19.04.17;11900,00;n/a;n/a;0,79;44,58;
Deutsche Bank;TD7RLJ;;Put;19.04.17;14,2801;0,005;0,021;-0,08;-6,01;
DAX;TD61E0;S;Call;19.04.17;10800,00;n/a;n/a;1,00;9,32;
DAX;TD61DZ;S;Call;19.04.17;10900,00;n/a;n/a;1,00;10,10;
DAX;TD61DV;S;Call;19.04.17;11300,00;n/a;n/a;0,99;15,06;
DAX;TD61DH;S;Call;19.04.17;13000,00;n/a;n/a;0,00;7,20;
DAX;TD61DQ;S;Call;19.04.17;11800,00;n/a;n/a;0,87;34,59;
DAX;TD7KL2;;Put;19.04.17;10050,00;0,015;0,035;-0,00;-0,61;
DAX;TD7KLC;;Put;19.04.17;11050,00;0,029;0,049;-0,01;-13,31;
DAX;TD61E6;S;Call;19.04.17;10200,00;n/a;n/a;1,00;6,38;
DAX;TD7KLP;;Put;19.04.17;11650,00;0,072;0,092;-0,06;-83,05;
DAX;TD7KL6;;Put;19.04.17;10450,00;0,02;0,04;-0,00;-2,62;
Deutsche Bank;TD7RLK;;Put;19.04.17;16,0651;0,12;0,14;-0,95;-11,38;
DAX;TD61E5;S;Call;19.04.17;10300,00;n/a;n/a;1,00;6,74;
DAX;TD7KLM;;Put;19.04.17;11550,00;0,055;0,075;-0,04;-65,74;
DAX;TD61E8;S;Call;19.04.17;10000,00;n/a;n/a;1,00;5,77;
DAX;TD61DS;S;Call;19.04.17;11600,00;n/a;n/a;0,95;23,12;
DAX;TD61E3;S;Call;19.04.17;10500,00;n/a;n/a;1,00;7,58;
Deutsche Bank;TD7RF9;;Call;19.04.17;16,9576;0,002;0,018;0,00;0,09;
DAX;TD61KW;S;Put;19.04.17;8800,00;n/a;n/a;-0,00;-0,00;
DAX;TD61L2;S;Put;19.04.17;8200,00;n/a;n/a;0,00;0,00;
DAX;TD61K8;S;Put;19.04.17;11000,00;n/a;n/a;-0,00;-25,14;
DAX;TD61K9;S;Put;19.04.17;10900,00;n/a;n/a;-0,00;-11,73;
DAX;TD61KX;S;Put;19.04.17;8700,00;n/a;n/a;-0,00;-0,00;
DAX;TD7KLQ;;Put;19.04.17;11700,00;0,079;0,099;-0,08;-96,87;
DAX;TD61KQ;S;Put;19.04.17;9400,00;n/a;n/a;-0,00;-0,02;
DAX;TD61KK;S;Put;19.04.17;9900,00;n/a;n/a;-0,00;-0,31;
DAX;TD61KG;S;Put;19.04.17;10200,00;n/a;n/a;-0,00;-1,13;
DAX;TD61KN;S;Put;19.04.17;9600,00;n/a;n/a;-0,00;-0,06;
DAX;TD61L7;S;Put;19.04.17;7700,00;n/a;n/a;0,00;0,00;
DAX;TD61KD;S;Put;19.04.17;10500,00;n/a;n/a;-0,00;-3,07;
DAX;TD6LB6;;Put;19.04.17;11100,00;0,029;0,049;-0,01;-16,11;
DAX;TD7KL4;;Put;19.04.17;10250,00;0,01;0,03;-0,00;-1,62;
DAX;TD7KLB;;Put;19.04.17;10950,00;0,018;0,038;-0,00;-15,67;
DAX;TD7KLA;;Put;19.04.17;10850,00;0,022;0,042;-0,00;-10,15;
DAX;TD7KLD;;Put;19.04.17;11150,00;0,031;0,051;-0,01;-19,23;
DAX;TD7KLE;;Put;19.04.17;11200,00;0,031;0,051;-0,01;-21,05;
DAX;TD61KT;S;Put;19.04.17;9100,00;n/a;n/a;-0,00;-0,00;
DAX;TD61L0;S;Put;19.04.17;8400,00;n/a;n/a;-0,00;-0,00;
DAX;TD61L6;S;Put;19.04.17;7800,00;n/a;n/a;0,00;0,00;
DAX;TD61KZ;S;Put;19.04.17;8500,00;n/a;n/a;-0,00;-0,00;
DAX;TD61KY;S;Put;19.04.17;8600,00;n/a;n/a;-0,00;-0,00;
DAX;TD61LA;S;Put;19.04.17;7400,00;n/a;n/a;0,00;0,00;
DAX;TD61KC;S;Put;19.04.17;10600,00;n/a;n/a;-0,00;-3,92;
DAX;TD61L8;S;Put;19.04.17;7600,00;n/a;n/a;0,00;0,00;
DAX;TD7KL9;;Put;19.04.17;10750,00;0,017;0,037;-0,00;-8,22;
DAX;TD7KLF;;Put;19.04.17;11250,00;0,033;0,053;-0,01;-26,07;
DAX;TD7KL5;;Put;19.04.17;10350,00;0,015;0,035;-0,00;-2,05;
DAX;TD7KL1;;Put;19.04.17;9950,00;0,015;0,035;-0,00;-0,39;
DAX;TD7KL8;;Put;19.04.17;10650,00;0,026;0,046;-0,00;-4,68;
DAX;TD61KH;S;Put;19.04.17;10100,00;n/a;n/a;-0,00;-0,75;
DAX;TD61KF;S;Put;19.04.17;10300,00;n/a;n/a;-0,00;-1,69;
DAX;TD61L5;S;Put;19.04.17;7900,00;n/a;n/a;0,00;0,00;
DAX;TD61LB;S;Put;19.04.17;7300,00;n/a;n/a;0,00;0,00;
DAX;TD61KE;S;Put;19.04.17;10400,00;n/a;n/a;-0,00;-2,17;
DAX;TD61L9;S;Put;19.04.17;7500,00;n/a;n/a;0,00;0,00;
DAX;TD7KFT;;Call;19.04.17;11650,00;4,46;4,48;0,94;25,40;
DAX;TD7KFN;;Call;19.04.17;11150,00;9,42;9,44;0,99;12,72;
DAX;TD61DR;S;Call;19.04.17;11700,00;n/a;n/a;0,93;28,03;
DAX;TD7KFR;;Call;19.04.17;11450,00;6,42;6,44;0,98;18,37;
DAX;TD61KA;S;Put;19.04.17;10800,00;n/a;n/a;-0,00;-15,01;
DAX;TD7KFS;;Call;19.04.17;11550,00;5,44;5,46;0,97;21,44;
DAX;TD7KFP;;Call;19.04.17;11250,00;8,41;8,43;0,99;14,20;
DAX;TD61DL;S;Call;19.04.17;12400,00;n/a;n/a;0,05;81,70;
DAX;TD7KFX;;Call;19.04.17;12100,00;0,70;0,72;0,48;80,08;
DAX;TD7KFQ;;Call;19.04.17;11350,00;7,42;7,44;0,99;16,01;
Deutsche Bank;TD7RF8;;Call;19.04.17;16,0651;0,001;0,017;0,05;5,23;
Deutsche Bank;TD7RFA;;Call;19.04.17;17,8502;0,002;0,018;0,00;0,00;
Deutsche Bank;TD7RLL;;Put;19.04.17;17,8502;0,32;0,34;-1,00;-4,95;
DAX;TD61KL;S;Put;19.04.17;9800,00;n/a;n/a;-0,00;-0,19;
DAX;TD7KFY;;Call;19.04.17;12300,00;0,082;0,10;0,12;150,36;
DAX;TD61DJ;S;Call;19.04.17;12800,00;n/a;n/a;0,00;10,66;
DAX;TD61E4;S;Call;19.04.17;10400,00;n/a;n/a;1,00;7,13;
DAX;TD61DU;S;Call;19.04.17;11400,00;n/a;n/a;0,98;17,11;
DAX;TD61E2;S;Call;19.04.17;10600,00;n/a;n/a;1,00;8,08;
DAX;TD61DK;S;Call;19.04.17;12600,00;n/a;n/a;0,01;30,06;
DAX;TD61DY;S;Call;19.04.17;11000,00;n/a;n/a;1,00;11,01;
DAX;TD61DX;S;Call;19.04.17;11100,00;n/a;n/a;0,99;12,09;
DAX;TD61DW;S;Call;19.04.17;11200,00;n/a;n/a;0,99;13,41;
DAX;TD61E7;S;Call;19.04.17;10100,00;n/a;n/a;1,00;6,06;
DAX;TD61DM;S;Call;19.04.17;12200,00;n/a;n/a;0,28;104,35;
DAX;TD7KLK;;Put;19.04.17;11450,00;0,041;0,061;-0,03;-52,61;
DAX;TD7KFV;;Call;19.04.17;11850,00;2,57;2,59;0,84;39,08;
DAX;TD7KFU;;Call;19.04.17;11750,00;3,49;3,51;0,91;31,34;
DAX;TD61DN;S;Call;19.04.17;12000,00;n/a;n/a;0,66;59,28;
DAX;TD61KV;S;Put;19.04.17;8900,00;n/a;n/a;-0,00;-0,00;
DAX;TD7KFW;;Call;19.04.17;11950,00;1,71;1,73;0,73;51,31;
DAX;TD61DT;S;Call;19.04.17;11500,00;n/a;n/a;0,97;19,79;
DAX;TD7KFZ;;Call;19.04.17;12500,00;0,008;0,028;0,02;81,68;
DAX;TD7KMB;;Put;17.05.17;11500,00;1,29;1,31;-0,23;-21,18;
DAX;TD8TAN;;Put;17.05.17;12000,00;2,65;2,67;-0,43;-19,46;
DAX;TD61LV;S;Put;17.05.17;9300,00;n/a;n/a;-0,00;-5,31;
DAX;TD61LE;S;Put;17.05.17;10800,00;n/a;n/a;-0,07;-23,09;
DAX;TD61LL;S;Put;17.05.17;10200,00;n/a;n/a;-0,02;-21,48;
DAX;TD61EE;S;Call;17.05.17;12000,00;n/a;n/a;0,58;18,39;
DAX;TD61EV;S;Call;17.05.17;10500,00;n/a;n/a;0,97;7,15;
DAX;TD61MG;S;Put;17.05.17;7200,00;n/a;n/a;-0,00;-0,00;
DAX;TD61ED;S;Call;17.05.17;12200,00;n/a;n/a;0,47;22,28;
DAX;TD7KG3;;Call;17.05.17;11450,00;7,82;7,84;0,79;12,12;
DAX;TD61EY;S;Call;17.05.17;10200,00;n/a;n/a;0,99;6,18;
DAX;TD61EN;S;Call;17.05.17;11200,00;n/a;n/a;0,85;10,35;
DAX;TD61M3;S;Put;17.05.17;8500,00;n/a;n/a;-0,00;-0,18;
DAX;TD61LN;S;Put;17.05.17;10000,00;n/a;n/a;-0,01;-21,89;
DAX;TD61F0;S;Call;17.05.17;10000,00;n/a;n/a;0,99;5,65;
DAX;TD61EQ;S;Call;17.05.17;11000,00;n/a;n/a;0,90;9,23;
DAX;TD61ME;S;Put;17.05.17;7400,00;n/a;n/a;-0,00;-0,00;
Euro;TD6Q3U;;Call;09.06.17;1,15;0,036;0,076;0,02;25,79;
Euro;TD6Q45;;Call;09.06.17;1,26;0,001;0,041;0,00;0,01;
Euro;TD6Q3V;;Call;09.06.17;1,16;0,015;0,055;0,01;19,54;
Euro;TD6Q48;;Call;09.06.17;1,29;0,001;0,041;0,00;0,00;
Euro;TD6Q3H;;Call;09.06.17;1,04;3,33;3,37;0,77;22,79;
Euro;TD6Q3L;;Call;09.06.17;1,07;1,49;1,53;0,55;35,97;
Euro;TD6Q4C;;Put;09.06.17;1,02;0,64;0,68;-0,15;-21,83;
Euro;TD6Q3Y;;Call;09.06.17;1,19;0,001;0,041;0,00;3,37;
Euro;TD6Q4P;;Put;09.06.17;1,13;6,27;6,31;-0,94;-14,95;
Euro;TD6Q3X;;Call;09.06.17;1,18;0,001;0,041;0,00;6,97;
Euro;TD6Q3K;;Call;09.06.17;1,06;2,04;2,08;0,64;30,63;
Euro;TD6Q3P;;Call;09.06.17;1,10;0,44;0,48;0,21;44,33;
Euro;TD6Q47;;Call;09.06.17;1,28;0,001;0,041;0,00;0,00;
Euro;TD6Q41;;Call;09.06.17;1,22;0,001;0,041;0,00;0,30;
Euro;TD6Q4S;;Put;09.06.17;1,16;8,98;9,02;-0,98;-10,90;
Euro;TD6Q4E;;Put;09.06.17;1,04;1,02;1,06;-0,23;-21,97;
Euro;TD6Q4B;;Put;09.06.17;1,01;0,51;0,55;-0,12;-21,87;
Euro;TD71YT;;Call;09.06.17;0,86;19,22;19,26;1,00;5,20;
Euro;TD71YX;;Call;09.06.17;0,90;15,47;15,51;1,00;6,43;
Euro;TD720T;;Put;09.06.17;0,88;0,001;0,041;-0,00;-2,92;
Euro;TD7215;;Put;09.06.17;1,00;0,39;0,43;-0,09;-22,09;
Euro;TD720R;;Put;09.06.17;0,86;0,001;0,041;-0,00;-0,00;
Euro;TD720V;;Put;09.06.17;0,90;0,001;0,041;-0,00;-8,62;
Euro;TD721D;;Put;09.06.17;0,99;0,30;0,34;-0,08;-23,45;
Euro;TD720P;;Put;09.06.17;0,85;0,001;0,041;-0,00;-0,00;
Deutsche Bank;TD7RF8;;Call;19.04.17;16,0651;0,001;0,017;0,05;5,23;
Deutsche Bank;TD7RLJ;;Put;19.04.17;14,2801;0,005;0,021;-0,08;-6,01;
Deutsche Bank;TD7RLK;;Put;19.04.17;16,0651;0,12;0,14;-0,95;-11,38;
Deutsche Bank;TD7RLL;;Put;19.04.17;17,8502;0,32;0,34;-1,00;-4,95;
Deutsche Bank;TD7RF9;;Call;19.04.17;16,9576;0,002;0,018;0,00;0,09;
Deutsche Bank;TD7RFB;;Call;19.04.17;19,6352;0,002;0,018;-0,00;-0,00;
Deutsche Bank;TD7RFA;;Call;19.04.17;17,8502;0,002;0,018;0,00;0,00;
Deutsche Bank;TD7Z7X;;Put;17.05.17;16,0651;0,16;0,18;-0,66;-6,17;
Deutsche Bank;TD7Z7W;;Put;17.05.17;14,2801;0,055;0,071;-0,30;-7,07;
Deutsche Bank;TD7Z7Y;;Put;17.05.17;17,8502;0,33;0,35;-0,90;-4,35;
Deutsche Bank;TD7YR5;;Call;17.05.17;16,0651;0,042;0,058;0,34;9,88;
Deutsche Bank;TD7YR8;;Call;17.05.17;19,6352;0,003;0,019;0,02;1,48;
Deutsche Bank;TD7YR7;;Call;17.05.17;17,8502;0,01;0,026;0,10;6,17;
Deutsche Bank;TD7YR6;;Call;17.05.17;16,9576;0,02;0,036;0,19;9,00;
Deutsche Bank;TD5GGG;S;Call;14.06.17;13,3876;n/a;n/a;0,79;5,53;
Deutsche Bank;TD5GGF;S;Call;14.06.17;14,2801;n/a;n/a;0,67;6,60;
Deutsche Bank;TD12NQ;S;Call;14.06.17;26,7752;n/a;n/a;0,00;0,00;
Deutsche Bank;TD12NA;S;Call;14.06.17;24,9902;n/a;n/a;0,00;0,03;
Deutsche Bank;TD165Z;S;Call;14.06.17;23,2052;n/a;n/a;0,00;0,17;
Deutsche Bank;TD5UR0;S;Call;14.06.17;20,5277;n/a;n/a;0,02;1,93;
Deutsche Bank;TD5GGC;S;Call;14.06.17;16,9576;n/a;n/a;0,23;8,20;
Deutsche Bank;TD8Q2W;;Call;19.07.17;16,00;0,064;0,08;0,40;7,56;
Deutsche Bank;TD8Q2Y;;Call;19.07.17;18,00;0,025;0,041;0,19;6,88;
Deutsche Bank;TD8Q2V;;Call;19.07.17;15,00;0,11;0,13;0,54;6,27;
Deutsche Bank;TD8Q2X;;Call;19.07.17;17,00;0,043;0,059;0,29;7,28;